transaction_id,invoice_number,transaction_date,transaction_time,transaction_status,store_id,store_name,store_location,store_type,store_size_sqm,district_id,district_name,postal_code,customer_id,customer_name,customer_email,customer_loyalty_status,product_id,product_name,product_category,product_subcategory,product_brand,product_department,supplier_id,supplier_name,quantity,unit_price,base_price,discount_rate,discount_applied,total_amount,tax_rate,tax_amount,payment_method,sales_staff_id,sales_staff_name,promotion_id,promotion_name
2192c1c3-58a4-4ed3-b1d6-3af86c2355a2,INV-45976,04-09-2025,14:22:28,Completed,3,Kaufingertor Passage,Kaufingerstraße 9,City Center,8500,1,Altstadt-Lehel,80331,28.0,Kai Weber,kai.weber88@gmx.de,Gold,45,Siemens Stationery 1,Miscellaneous,Stationery,Siemens,,1,Deutsche Waren GmbH,1,24.33,28.62,0.15,True,24.33,0.19,4.62,Gutschein,5,Mitarbeiter 5,4.0,Promotion 4
a936611d-52ea-4c45-a559-3a7a3a397b02,INV-67779,2025-04-07,01:40:59,Completed,5,Fünf Höfe,Theatinerstraße 15,Luxury Mall,17500,1,Altstadt-Lehel,80331,19.0,Birgit Fischer,birgit.fischer@outlook.com,Silber,28,Copy of Braun Makeup 2,Beauty,Makeup,Braun,Health & Beauty,1,DW GmbH,2,69.03,69.03,0.0,False,138.06,0.19,26.23,EC-Karte,1,Mitarbeiter 1,,
2451a2bf-0a57-459b-a768-b7c4c4cb1230,INV-48684,2025-03-26,13:18:40,Completed,3,Kaufingertor Passage,Kaufingerstraße 9,City Center,8500,1,Altstadt-Lehel,80331,12.0,Stefan Schneider,stefan.schneider@gmx.de,Bronze,13,Nivea Children's 1,Clothing,Children's,Nivea,Fashion,1,Deutsche Waren GmbH,1,15.64,15.64,0.0,False,15.64,0.19,2.97,Bargeld,8,Mitarbeiter 8,,
536d77de-0cb8-4514-8e05-c403d7c5cea0,INV-98188,2025-04-05,03:25:05,Completed,2,Riem Arcaden,Willy-Brandt-Platz 5,Shopping Center,70000,5,Au-Haidhausen,81667,15.0,Klaus Schmidt,klaus.schmidt@web.de,Silber,44,Bosch Seasonal 2,Miscellaneous,Seasonal,Bosch,Electronics,3,Global Imports Ltd.,2,137.55,137.55,0.0,False,275.1,0.19,52.27,Kreditkarte,2,Mitarbeiter 2,,
17a0d60a-8e85-466e-b21a-6e61223ff7bd,INV-25292,2025-02-05,18:15:07,Completed,3,Kaufingertor Passage,Kaufingerstraße 9,City Center,8500,1,Altstadt-Lehel,80331,15.0,Klaus Schmidt,klaus.schmidt@web.de,Silber,31,H&M Haircare 1,Beauty,Haircare,H&M,Health & Beauty,1,DW GmbH,1,207.79,207.79,0.0,False,207.79,0.19,39.48,Mobil Zahlung,5,Mitarbeiter 5,,
ee4d3a65-d2aa-4871-bf0b-bf85c1ca83ac,INV-90694,2025-01-10,11:51:27,Completed,1,Olympia Einkaufszentrum,Hanauer Str. 68,shopping center,56000,10,Moosach,80992,9.0,Alex Müller,alex.müller@gmx.de,Silber,25,Bosch Skincare 1,Beauty,Skincare,Bosch,Health & Beauty,1,DW GmbH,1,142.59,142.59,0.0,False,142.59,0.19,27.09,EC-Karte,2,Mitarbeiter 2,,
1f409f3f-7e6c-4b01-a1ef-531466893194,INV-94109,2024-12-19,12:24:30,Completed,4,Hofstatt München,Sendlinger Straße 10,City Center,15500,1,Altstadt-Lehel,80331,16.0,Alex Schmidt,alex.schmidt30@gmx.de,Silber,24,Miele Bedding 2,Home,Bedding,Miele,Home & Living,2,EuroDistribution AG,1,200.63,200.63,0.0,False,200.63,0.19,38.12,EC-Karte,8,Mitarbeiter 8,2.0,Promotion 2
4FEJGXAA2I,INV-16868,2024-12-12,20:28:43,Completed,2,Riem Arcaden,Willy-Brandt-Platz 5,shopping center,70000,5,Au-Haidhausen,81667,14.0,Andreas Weber,,,5,Samsung Accessories 1,Electronics,Accessories,Samsung,Electronics,1,Deutsche Waren GmbH,2,201.76,201.76,0.0,False,403.52,0.19,76.67,Gutschein,6,Mitarbeiter 6,3.0,Promotion 3
9a07a626-2231-4f43-bb52-c077bc6592af,INV-62640,2024-10-25,06:17:23,Completed,4,Hofstatt München,Sendlinger Straße 10,City Center,15500,1,Altstadt-Lehel,80331,35.0,Mika Weber,mika.weber#gmx.de,Bronze,38,Miele Bakery 2,Food,Bakery,Miele,Food & Beverage,1,Deutsche Waren GmbH,1,206.41,206.41,0.0,,206.41,0.19,39.22,gutschein,1,Mitarbeiter 1,4.0,Promotion 4
2fd87edb-4482-4a8b-a1e7-2638ebe59b43,INV-24996,2025-01-01,15:54:30,Completed,1,Olympia Einkaufszentrum,Hanauer Str. 68,Shopping Center,56000,10,Moosach,80992,10.0,Kai Schneider,kai.schneider25@gmx.de,,5,Samsung Accessories 1,Electronics,Accessories,Samsung,Electronics,1,Deutsche Waren GmbH,1,201.76,201.76,0.0,False,201.76,0.19,38.33,Bargeld,10,Mitarbeiter 10,,
